Name,Time,Content,Repost,Comment,Like
清华常江,11-02,感谢我的老师（同时也是我的同事）金兼斌教授对我做的专访——《米兔运动、介入式文化研究与知识分子的社会责任》。算是给今年夏天我们共同经历的一切留下一些记录吧。#I’ll be your voice#,795,79,690
方可成,09-10,"美国米兔运动新进展：今年7月，《纽约客》发表Ronan Farrow撰写的报道，披露：六名女性指控CBS总裁兼CEO Les Moonves性骚扰。
 
 周日（9月9日）早上，Ronan Farrow在《纽约客》再次发布跟进报道，披露了另外六名女性的指控。
 
 几小时后，CBS宣布：Les Moonves即刻下台。CBS以及Les Moonves本人将向米兔 ...全文",31,8,88
傲慢的香菇妖,42分钟前,米兔运动，与其站在传统文化中女性立场，比如女德，所谓单纯善良自尊心等，不如借此机会来捍卫女性独立思想的重要性，面对熟人侵犯时的坚决性。这跟完美受害者没有任何关系。没人要求必须完美，但是希望妇女儿童们明白这些社会交往的能力。你在这样的社会中长大，不可能一无所知，但是出了事拿单纯善良 ...全文,0,0,0
白熊艾维,7小时前,"。虽然并不是不能理解他们的脑回路
 但是每次看到那些说“tg是先锋党”或者“（中国的）米兔是保守主义运动”的人
 都有种我们不是在讲同一种语言的感觉
 可能文化人生活的世界就是不一样吧",0,0,1
连峰盈尺,17小时前,与米兔运动结合起来看。,0,0,0
英国·伦敦,昨天 06:40,@StephanieYR: 夺回house正常，而让我开心感到希望的是，众议员将有超过100位女议员❤️ 英国·伦敦,0,0,3
斋多士,11-05,大概十年前看了翡翠台播的《盖世豪侠》，周星驰对蓝洁瑛全程痴呆脸，根本不用靠演的；吴镇宇感觉像是不敢看蓝洁瑛的眼睛..而.现实里罗也是替代品这不难推测。蓝真的让人很痛心...也再次告诉大家“米兔”运动的重要性。很多时候性不是最主要的原因，那些有权势的人觉得自己可以凌驾于一切，不把人当人！,0,1,2
火法鹅,11-05,@上善若水ZF: 现在的人真是难将就啊，人家走了电视台重播她的电视，然后一大堆人喷生前干什么去了，这就是蹭热度蹭收视吧啦吧啦的，？？恩？？tbb的收视又不是内地的，蹭你哪门子收视了，况且如果不重播到时候还不是一堆人又喷tbb无情。最重要的是，姐姐在生的时候，不也没见这些喷子义愤填膺的去帮她什么呢 ...全文,3,3,7
张鹤慈微博,11-05,"是这个理，不管是lgbt平权还是女权运动占主导的依然是中产阶级，不仅好莱坞这样国内也是这样，你看米兔，出来发声引起热议的都是中产阶级，真正受苦的还是沉默的大多数//@0boliboli0:光是在名人圈内，女星支持diversity没毛病，但你本人必须是妆容娇好的标准直女美人形象,懂没?物化女性的基础问题都没",0,0,0
刘强东案更多细节曝光 受害女生:我再三恳求他别这样,11-05,"@二手尴尬: iD那个Timothee Chalamet和Harry Styles的采访真的蛮好笑的 倒不是说明星本人怎么样 而是说中产白男只要讲几句平权就被捧成新世纪最佳heartthrob 他们两个如此 Troye Sivan也如此
 真正在struggle的minority你却很少能在媒体上见到 我求求好莱坞的恶臭大佬别再讲diversity了 装个几把",4,0,17
飞刀Ye,11-04,回复@我是野战排:我对米兔运动评价也是矫枉过正。刘强东案女方在强势暴发户的淫威下应对有瑕疵，但不是多年后的基本无证据声讨的米兔运动，而是在案发当时已有证据表明女方不情愿，也有证据证明发生性关系。女方潜意识认定小人物斗不过土豪，这个认定现在还真的不敢说一定错,2,6,7
不知道除了邮戳还能改叫什么好,11-03,@首读在线: #刘强东#『刘强东案更多细节曝光 受害女生:我再三恳求他别这样_手机新浪网』刘强东案更多细节曝光 受害女生:我再三恳求他别这样,1,1,3
财经杂志,11-03,"【娱乐真冰】最近国内米兔运动刚有点风头，就已经偃旗息鼓。毕竟，现在大家只敢打中文谐音「米兔」，而不敢 BBC说这是日本之耻, 但我们都应该看看 网页链接",0,0,0
周服老于,11-03,"文章分享《在房思琪的悲剧中，所有人都是帮凶》在房思琪的悲剧中，所有人都是帮凶
 夏天里仅持续了两三天的“米兔”运动早已过去，人们对于受害者的“反扑”也开始逐渐显现。“看客”们又开始戴上有色眼镜审视当初还不容易鼓起勇气揭开伤疤的女生们的“行为不检点之处”。
 “强暴是社会性的谋杀，社会对性的禁忌感成 ...全文",0,1,0
蓝洁瑛爱情亲情双失一生坎坷,11-03,【当安卓之父陷桃色丑闻，9000万美元离职金该不该付？】从好莱坞开始掀起的轰轰烈烈的米兔运动席卷美国，硅谷更是打头阵。安卓之父安迪·鲁宾曾对女下属有性骚扰行为，而谷歌在知悉事件后保持沉默，在四年的时间里支付给他9000万美元的离职补偿金，这个月是支付补偿的最后一个月。11月1日，谷歌员工发起 ...全文,3,0,6
邓咘栗哆,11-02,曾志伟的微博被网友攻陷了，键盘党的正义感还是很强的。米兔运动要是早一点发起，蓝洁瑛的压力或许可以早一点得到释放。,1,1,1
猫君是个好少年来着,10-31,@周服老于: 这篇#蓝洁瑛去世#回顾生平的文章有许多细节故意没有披露，几年前有记者采访蓝洁瑛，她自称被两位影坛大哥性侵过，怕麻烦不敢声张。 蓝洁瑛爱情亲情双失一生坎坷,0,0,2
接触不良小狗星,10-30,全篇金句不断，为男神打call。我看到的第一位发声的高校男教师，米兔运动绝不只是事关女性的运动，老师的责任感、正义感和对女性的尊重令人深深钦佩。,0,3,0
神气飞天猪,10-29,@清华常江: 感谢我的老师（同时也是我的同事）金兼斌教授对我做的专访——《米兔运动、介入式文化研究与知识分子的社会责任》。算是给今年夏天我们共同经历的一切留下一些记录吧。#I’ll be your voice#,0,0,0
碎碎念小欣,10-27,昨天转的视频果然被删了，作者竟然被封号了 明明全部是真实发生的案件，现在说都不能说了。国外米兔运动风风火火，国内敢提就封你号,0,0,0
南下zX,10-27,@再磕一口就跑路: 真好看 徒有琴Music的视频《【音乐剧中文翻唱】天朝渣男图鉴（原剧：《芝加哥》）》【音乐剧中文翻唱】天朝渣男图鉴（原剧：《芝加哥》）,0,0,2
天下-克罗斯,10-26,反思的部分让我非常感动。常江老师不仅仅考虑了国内的群众基础和现阶段米兔运动应该实现的目标，还考虑到此类大型共情式心理疗愈由于太易引发情绪共鸣、太快取得成效，反而有可能导致人们止步于某种情感满足的阶段，进而影响到迈向下一步的发展。在互联网上这类声音显得如此稀缺而珍贵。//@麦烧同学,0,1,1
是栗子还是Liz,10-25,@清华常江: 感谢我的老师（同时也是我的同事）金兼斌教授对我做的专访——《米兔运动、介入式文化研究与知识分子的社会责任》。算是给今年夏天我们共同经历的一切留下一些记录吧。#I’ll be your voice#,0,0,0
戳你酒窝溜你肩,10-25,是啊，从米兔运动的山巅一步跌进“不涂口红你就是个男的”的洼地……,0,0,0
文小暖儿嘿,10-25,"@木遥: 朋友圈好多人在发老东家反对职场性骚扰的 walkout。
 
 怎么说呢，回国时间长了，渐渐也能理解为什么这边很多人觉得这都是硅谷的白左发疯。主要还是参照系的问题，从这边看过去，真的很像是学渣看学霸考完试怒吼说妈的最后一道题又没答好。
 
 当然还是支持这个活动。只是这样下去，早晚旱的旱死涝的涝死。 ...全文",0,0,3
【超话】内在美,10-24,"金庸娶女招待跟伍迪艾伦娶继女是一样的，私德有亏，但跟作品没有一毛钱关系。
 
 米兔运动波及伍迪艾伦的作品只能说田园女权跟红卫兵一样的。",0,65,205
财加州,10-24,"班里一个姑娘每次做presentation时都面带笑意 我注意了许久 确认她真的有在笑。
 可是她讲的内容
 去年是豫章学院 今天是米兔运动与性侵案",0,0,0
秋色满船,10-22,"突然想起之前七月底米兔运动高潮的时候，看到一个ID叫什么果子狸的，一直反反复复在说女性站起来了我还真的觉得那会儿肯定很快就要爆发类似于法国大革命一样的女权革命运动了
 
 事实证明我又再次想多了，和以前一如既往总是常犯的毛病，就是想的特别多
 
 突然感慨。。当然战果还是有的 ...全文",4,0,0
桃花很旺旺的大魔王,10-18,#雷哥单词Relax读吧#DAY 2，今天的文章生词稍多，内容也很神奇，印度的米兔运动@雷哥英语说,17,7,83
韩国me2day,10-15,我又想起了狩猎（一部会被拿来抨击米兔运动的电影），什么时候国家能达到电影里那样对儿童保护和性侵惩戒的高度敏感，人民该睡着笑醒，而不是担心什么狗屁没边的矫枉过正。,0,0,0
最爱黄苹果,10-15,"内在美
 
 势均力敌的爱情才最好看
 
 米兔运动后 完美处理敏感话题 👏
 
 没有暗黑 全程高甜 某个点又很戳泪
 
 剧本特别棒了
 
 吴海英的部分演员 好感蹭蹭蹭",0,0,0
菲凡feiiixxx,10-15,别的屁都没学，先他妈盲目跟随左派那些运动，米兔平权lgbt! 卡瓦诺赢了，福特输了，米兔凉了。正义永在!,0,0,0
WeLens,10-14,@新浪娱乐: 【弦子麦烧现身接受采访 正式开庭时间待定】25日，弦子和麦烧同学在朱军名誉权纠纷案证据交换结束后现身接受采访，麦烧表示今天用时比预想的要长很久，原告方重新提交了相应的证据及目录，己方也提交了补充证据，法院会根据证据情况考虑是否会让朱军出席。正式开庭时间目前仍然待定，可能还会有一个庭 ...全文,84,0,23
君山笑醉狂,10-13,"终于到了最感兴趣的章节
 据说法学院只有这节课全场爆满，可惜这书还是讲得太简略了
 前段米兔运动被科普了插入说射精说等等，知道得比这里还多……
 
 违背妇女意愿都算强奸",0,3,1
塞普滩贝儿,10-12,我不觉得这是形式式的活动哈。我认为迟早有一天，这事儿得展开规划运作。国内是没有女权游行活动的，西方每次游行都有明确的主题和诉求，所以才得以在有规划有组织的情况下一步步推进实现。所以我们才有必要开会统一诉求方向，然后线上游行运动，比如米兔//@稍息-shaoxi:哈哈哈哈哈母权代表大会,0,0,0
不爱早起的虫儿,10-11,@桃花很旺旺的大魔王: @yangxinshu 你去哪里了，我好想你......,19,14,31
酒品绝佳朱虚侯,10-11,"今日小编推文:<拥有超强运动神经的体育豆们>,应用商店搜""米兔韩流""或戳评论下载链接查看.",49,107,88
一大只火药桶,10-11,这个米兔运动很有力道！下面看她是如何影响中期选举的,49,107,88
奥利弗拉明戈,10-11,@新语丝之光001: 到现在美国“我也是”运动已打掉201个有权有势的人，难怪有些人慌了。最有权势的两个（总统和大法官）并没打掉，不用慌。,0,0,0
童大焕,10-11,米兔运动在国内基本无水花的另一个原因吧//@豆你玩://@系红领巾的猴子:都是狗逼//@童话君Diahhan: 转发微博,19,14,31
微天下,10-10,"@暴烈甜心小鳄鱼毛毛: 上次蒋方舟站出来说遭遇性骚扰的事情，被群嘲。这次谢娜站出来说被性骚扰的事，依然被群嘲。
 【容貌羞辱】：不会吧？这么丑也下手？口味怎么这么重？她长那个样，谁骚扰她啊？看她长那样子吧，真恶心。
 【身材羞辱】：没胸没屁股的，又什么好摸的。下手也要找个屁股肥的捏吧。
 【年龄羞辱】：要骚扰也 ...全文",0,0,0
微天下,10-10,昨天，印度内阁部长M·J·阿克巴(M.J. Akbar)，因为针对他的一系列性骚扰指控，而辞去了职务。他也是印度米兔运动中被打倒的最显赫人物。,0,0,1
大花和小黄,10-10,从米兔运动发酵的朱军事件终于终于以正主的名字上热搜了，赶快存一下，谁知道渣浪啥时候就把这个热搜给下了。然后吃瓜围观后续。,0,0,0
童大焕,10-10,嗯这次我不站在刘瑜老师那边。我认为随着米兔运动的深入，希望达到的目的包括，提高性暴力性骚扰者的实施成本，对男权结构发出挑战；改变“我们”的想法，受过侵犯却沉默的“我们”，未受过侵犯旁观的“我们”，未实施过侵犯却不太懂边界在哪的“我们”从而影响社情舆论或许可以缓慢推动法律体制,1,4,1
麦坚利汉堡包,10-09,@纽约北大飞: 和刘瑜老师商榷：米兔不是保守主义守贞运动，也不是搞文革,0,0,1
张花耶,10-09,米兔运动已经走火入魔了，人人都以为自己会变成被男人性侵的对象。其实有时候照照镜子问问自己，会吗？迫害妄想症而已。,1,0,4
Chillax-H,10-08,@观察者网: 【美国白人女子报警“9岁黑人男孩摸了我的屁股” 然而…】10日，美国纽约的一家超市内，发生了一起无中生有的“性侵”事件。一名白人女子认为自己的屁股被一名9岁黑人男孩抓了一把，现场报警。而在她和警方一起查看监控后，才弄清原来是男孩的书包蹭到了她...微丢的秒拍视频,21,14,31
图文并茂诠释美国新任大法官政治背景与选任内幕【斑斓 · 视界】,10-08,貌似中国的“米兔”运动自打烧到“霉体圈（juan）”之后就没动静了。,0,0,0
Cordelia__Shan,10-07,如果有人趁着这阵风编造故事试图毁掉一个无辜的人，当谎言被揭穿之后，对米兔运动本身也是一种伤害，其他真实受害者所说的，也将会受到质疑,0,0,0
佛山雅治,10-07,"昨天三节课嘤嘤嘤语言学一节课感觉有三个小时
 但是开学第一次垒球训练了！！
 还是那种纯粹运动的快乐鸭
 精读了一篇米兔的新闻 还深入到了党派斗争真的很有趣了
 回想一下我们真的还是任重而道远啊
 米兔 needs a path towards atonement or absolution.
 语言还是一如既往的妙",4,50,33
#不考究的脑洞#,10-07,从事后来看，我们最近已经看到的大部分米兔运动，一开始就动机不纯，包括特朗普提名的大法官被米兔。下面这个则是“求爱“不成恼羞成怒的例子。它越来越呈现出魔鬼的面目。相当程度上，米兔运动可以成为无成本陷害运动，指控人甚至不露真实身份和姓名，躲在暗处放冷箭却不受任何惩罚，也不需要对被米兔 ...全文,0,0,1
Orz的转角_无毒无公害,10-06,【梅拉尼娅谈米兔运动：若要指控他人性侵 得有证据】10日，美国ABC电视台播出了一段与美国第一夫人梅拉尼娅的专访，其中梅拉尼娅首谈“米兔运动”。她表示，支持在运动中发声的女性，认为她们的声音应被听到，但同时称，“如果你想指控他人性侵，必须有确凿的证据…” 梅拉尼娅：若要指控他人性侵 得有证据,0,0,0
燕北新媒体,10-06,【梅拉尼娅谈米兔运动：若要指控他人性侵 得有证据】10日，美国ABC电视台播出了一段与美国第一夫人梅拉尼娅的专访，其中梅拉尼娅首谈“米兔运动”。她表示，支持在运动中发声的女性，认为她们的声音应被听到，但同时称，“如果你想指控他人性侵，必须有确凿的证据…” 梅拉尼娅：若要指控他人性侵 得有证据,0,0,0
Sherlock3003,10-05,其实吧，米兔运动的主要被控方一般为男性。建议男性注意自己的言行举止呀，不要单独和女性相处呀，最好在有摄像头的地方沟通呀，穿着打扮不要让女性误会呀，这样就不会给女性诬告男性创造机会了嘛。男人们先要保护好自己，女人们怎么可能搞米兔嘛。你们说对不？,0,2,0
是个小猪包,10-05,@童大焕: 从事后来看，我们最近已经看到的大部分米兔运动，一开始就动机不纯，包括特朗普提名的大法官被米兔。下面这个则是“求爱“不成恼羞成怒的例子。它越来越呈现出魔鬼的面目。相当程度上，米兔运动可以成为无成本陷害运动，指控人甚至不露真实身份和姓名，躲在暗处放冷箭却不受任何惩罚，也不需要对被米兔 ...全文,0,1,14
咱说,10-05,从事后来看，我们最近已经看到的大部分米兔运动，一开始就动机不纯，包括特朗普提名的大法官被米兔。下面这个则是“求爱“不成恼羞成怒的例子。它越来越呈现出魔鬼的面目。相当程度上，米兔运动可以成为无成本陷害运动，指控人甚至不露真实身份和姓名，躲在暗处放冷箭却不受任何惩罚，也不需要对被米兔 ...全文,1,2,6
niceyoonalim,10-05,有些人总是爱把对错善恶与某个集体甚至与国家民族挂钩，学校出了丑闻了，不急于惩罚制裁施暴者，反倒先对受害者指指点点🙃“你现在把这件事公开，闹大了怎么办，学校对你不好吗🙃”都多久了，我们一个西方文论老师还在课堂上说“现在的中文系堕落了，那么多人参与了米兔运动”,0,1,3
橘子走路,10-05,"@-公元1874-: 学着做一个地球人，欣赏全世界所有美好的东西。不要把自己困在某个地方，不要让某种身份来代表自己。你是你自己，不是刘处长，不是一本大学的学生，不是东北人或苏南人。勤劳善良是一个人基本的素质，不是什么中国人民的传统美德。
 世界上有很多值得我们了解的东西。没有哪个地方是完美的，没有哪个地 ...全文",2,1,11
当代陌生人,10-03,"我要发起米兔运动了：
 我（男）上班被男经理（gay）摸了屁股
 等着我的起诉书吧！",2,18,24
Suki你说呢,10-03,“在“米兔”运动如火如荼的今天，福特女士在国会作证时，没有一个人敢质疑她是否撒谎，没有一个共和党参议员敢深挖破绽，交叉盘问，或者质疑未遂性侵事件可能确实发生过，但15岁小女孩酒后有可能记不清楚时间、地点和涉嫌人。即使卡瓦诺也不敢质疑福特女士是否诬告，只能说她是不是认错人了？”,4,5,1
肉食性蝴蝶,10-02,"@有限次重复博弈: 陈伟这篇写的太透彻了，了解卡瓦诺了解美国政治
 图文并茂诠释美国新任大法官政治背景与选任内幕【斑斓 · 视界】",3,0,2
澳大利亚SBS广播公司,10-02,所以在这个米兔运动的作用下，就算最高法院的确就他高中时性侵行为进行了听证，卡瓦诺还是当选了美国最高法院大法官。我们看到的仍旧是一个男权至上的现实，女人再怎么反抗，男人，白人男性还是要站在顶端。哪里都一样。但是，勇于反抗的女性们，你们才最值得尊重。,0,0,0
muyang51,10-02,#不考究的脑洞#《让子弹飞》里六爷刨腹自证只吃了一碗凉粉，血流成河，诬告者还说我知道你只吃了一碗，但是你输了。既然“自证清白”是一种心理控制，为什么有时候法律还要求“自证”呢，无罪推论也是近几年才认真讨论，想想觉得瑟瑟发抖。欧美一部分的米兔运动似乎也陷入自证清白怪圈，反而脱离了一直 ...全文,0,7,31
澳大利亚SBS广播公司,10-01,开课第一节开头就讲米兔运动海星,0,0,0
鄭峻,10-01,#四眼看天下# BBC纪录片《日本之耻》这部豆瓣8.9的纪录片记录了一个日本记者的维权之路。25岁的伊藤诗织在一次工作晚会上被时任东京广播公司华盛顿分社的社长、日本首相安倍晋三的传记作者山口敬之Q J，提起Q J诉讼却被压下来，2017年召开媒体发布会公开提出Q J控诉，震惊日本。随着米兔运动的发展，外 ...全文,4,0,3
王艳-博士猫,10-01,持续关注。米兔已经一年，这是我看到的唯一一起进入法律程序的被“米兔”人反告诽谤案。本案的结果将对整个米兔运动产生影响。,0,0,0
傻缺3Y大智若愚,09-30,"@看电影: #围观# 杰弗里·拉什状告新闻集团旗下澳大利亚《每日电讯报》诽谤一案又起波澜。据悉一名新闻集团澳洲律师上月已前往美国对拉什展开调查，希望能获得拉什诉讼案的其它证据。
 
 去年《每日电讯报》刊登文章称拉什在2015年参与悉尼剧院舞台剧《李尔王》演出时，曾对女演员艾琳·简·诺维尔有过“不恰当行为” ...全文",0,7,0
大肚子蝈蝈,09-30,"一个人被欺负最主要的原因是对方预判他没有反击的能力，跟你是男人还是女人关系不大，米兔运动中有那么多女生站出来，还不是因为占有强势地位的大部分都是男人。
 这世界从来都是丛林法则，光喊我被欺负了有什么，重要的是蓄力成长努力占领高位。",0,0,1
这里是三岁的微博,09-30,作为一个一贯倡导权利平等和米兔运动的坚定支持者，看到这种屁股决定脑袋的女权主义者真的感觉像吃了一坨屎。不客气地说，无脑的女权主义者恐怕和无脑的反女权主义者一样多。而我则认为，在无脑这个问题不能比较好地解决之前，在本身就很糟糕的社会环境之下，平权其实是挺遥远的梦想。所以，支持平权、 ...全文,18,1,30
锅盖头,09-30,没想到这四个字上了热搜，一开始米兔运动时候看到这四个字就很感动，想到了前两天看的桃李不言，里面说身为女性更应该帮助女性，总有人说女权主义什么的，女权主义不是女性至上而是我们也拥有享受平等的权利。,0,1,1
小钢炮觉得开心就好,09-30,"@七百里加急递煎饼: “别害怕，姐姐来了。”— 声援反对梨花大学后门入学的学妹
 
 “我是你未来的老板，不是你未来的老婆。”— 反对被当作豪门贵妇的培育地
 
 “我的生活，不是你的A/V” — 反对日益严重的针孔偷拍等犯罪
 
 “所有韩国男人都是罪犯，拍摄的人，上传的人，看的人，袖手旁观的人。”— 声援具荷拉或像具荷 ...全文",18,1,30
The-Portrait-Of-A-Lady,09-30,"今天米兔运动如火如荼，女性及整个社会对于性侵的认识已经达成了共识：侵害者有罪，受害人纯然无辜，不要污名化受害人。
 
 ——@作家陈岚",0,1,1
平清信,09-29,日本人在某种程度来说更加清醒，以前很佩服这种清醒，现在觉得这种清醒特别丧。这种清醒让人丧失对生活的热情，像米兔这种运动日本永远不会是发起国。,0,0,1
牛轧果,09-29,@当代陌生人: 日本太丧了，沉迷于日本那段时间，不自觉的会对人频繁道歉。,0,3,2
JulianneMoore中文站,09-29,#米兔運動##米兔运动中国化# 补充一些进化学研究，以下来自《进化心理学》戴维 p354,0,0,1
海边的维他命,09-29,"我不会指责任何一个全盘相信女性当事人的观点，因为我支持米兔运动。但凡不是你罗但凡我对他没有这么了解我都会站女方和弱者。
 甚至这次事件过后再有类似的事，我或许会多一点思考，但大概率依然会优先站女性和弱者，而非被指控的男方和强势方。
 
 我唯一质疑的，是本身是罗黑、隔壁球迷等等，然后在这 ...全文",0,0,0
JulianneMoore中文站,09-28,【米兔一周年：在新西兰，我们永远不会庆祝！】米兔运动自去年10月发起以来，已经一周年。来自中国的活动家说，现在网络上中国的米兔事件几乎一个月一起，因此，是不可能被禁声的。新西兰总理雅登说，虽然在新西兰 me too运动有进展，但是还有很长的路要走，没有什么好庆祝的。网页链接,1,0,1
海边的维他命,09-28,美国的米兔运动，看到一个观点，“一切都要讲证据”一个弱势的女演员指控一个导演，大家纷纷战队，“天哪，她居然敢勇敢地站出来，需要多大的勇气”纷纷站队谴责导演，要把导演送上绞刑台，她弱，所以她说的都是对的；后来一个17岁的少年指控这个女演员，大家又把枪口指向女演员如果有一天 ...全文,1,0,4
毓米书院,09-28,【SBS新闻早知道（10月5日）】昨日悉尼一医院警察向一个动刀男子开枪/ 联邦反对党承诺，赢得选举就把学前班入学年龄降至3岁/ 米兔运动自去年10月发起以来，已经一周年/ 美国副总统彭斯指责中国企图破坏美国总统特朗普的贸易政策。网页链接,0,0,2
红袖添饭就是龟毛,09-28,"川普公开嘲讽“疑似性侵受害者”福特女士出于政治目的诬陷卡瓦诺之后，主流媒体痛斥他是无耻，民主党人也纷纷予以谴责，其中还包括了共和党人Flake。如果不出意外的话，接下来应该是报道福特痛哭流涕，然后女权主义和米兔运动愤怒抗议了。
 Flake也是个很有意思的角色。因为长期与川普不和，Flake在自己 ...全文",2,7,3
aspen6868,09-28,回复@祀宁:假如女人不自强自立自爱，岂不是可以屈服于性骚扰，继而通过屈服而得到实惠了？那么这轰轰烈烈的米兔运动又在折腾什么呢？你把俺喵星人搞糊涂了。假如面对性骚扰的第一反应是“懵”，没有反抗，那么男人又如何知道女人不愿意呢？假如发展到“强奸”，女人没有反抗，又如何判断是否出于自愿？,1,0,0
Nevim-Eskul,09-28,@弦子与她的朋友们: 关于“如何保护自己不受性骚扰伤害”的心得，一篇完完全全的“实用文”，是怀着想要保护自己的妹妹的心情写出的文字。感谢QQ的约稿、感谢@MattersLab 的潔平老师的指导，想对所有女孩说，我们会努力创造一个更好的世界；想对所有和我有类似遭遇的女孩说，保护好自己的心；想对大家说，请让她们发出声音 ...全文,10,15,15
littlekidrock,09-27,无关粉丝之间的斗争 这是社会事件 认真看了完整的受害者起诉书 静看结果吧 真的难受 米兔运动轰轰烈烈的时候 受害者才敢重新站出来 如果这都不能还她一个公道 太令人绝望而心寒了 女性在这种事情上永远是处在弱势一方 何况对方还是这样一个球星 不想看新闻底下的评论 真的恶臭,10,0,34
拜金二俊,09-27,"@观察者网: 【美国警方重启9年前C罗强奸案调查】美国女子凯瑟琳·马约尔加日前指控C罗2009年在拉斯维加斯对自己实施强奸；当时C罗付给她37.5万美元封口费。当天晚间，C罗通过社交媒体对强奸指控表示否认，并称对方只是想靠蹭他热度出名。昨天拉斯维加斯警方宣布对此案重启调查。
 
 拉斯维加斯警方的通告中称，由于当 ...全文",0,0,2
恨天111,09-26,米兔运动在美国有这条件可以不惜代价搞得轰轰烈烈，当然主要还是通过舆论而不是法律，把性侵案推动成为一场广泛持久的社会运动。卡瓦若牵涉到党派利益更是引人注目，似乎值得长篇大论。可惜的是凯文·史派西，再也看不到他的出色表演了。,0,2,1
Caraca-,09-26,@赵丹赵丹喵: 《写在一场历史性的听证会之后》：卡瓦诺事件让我看到，我所熟知的两个社会，中国和美国，存在着水火不容、又针锋相对的两派。但听证会的本质是一场民主程序，判断“卡瓦诺到底有没有性侵”、以及卡瓦诺究竟是否适合做大法官，本质上还是每一个普通民众自己内心的主观判断。我佩服Dr. Ford的勇气，因为 ...全文,0,0,0
PEKSNA常旅客,09-26,"《李茶的姑妈》是我看过的年度最烂片。
 有一种很奇怪的现象:在米兔运动势头正热之际，这样一部充满性骚扰和性暗示以及极度将女性物化以通过女性受辱还造梗的电影竟然还能得到一众好评，难道米兔运动的势头都是一种假象？
 说他低俗与恶俗并不因为性，因为性本身就是一件可以很美好的事情。",0,0,1
鄭峻,09-26,由米兔运动可以看出妇女在中国的处境是很悲惨的，高层根本没想解决问题，只是解决那些提出问题的人，同样的事情还发生在退伍老兵 上访人士身上。在中国，政府只会允许自己发动的社会运动存在，比如当年的反日反美游行,0,0,0
